NAMESPACE              NAME                                            DESCRIPTION                                                                        PARAMETERS        OBJECTS
openshift              eap71-amq-persistent-s2i                        An example EAP 7 A-MQ application. For more information about using this temp...   35 (11 blank)     12
openshift              eap71-amq-s2i                                   An example EAP 7 A-MQ application. For more information about using this temp...   33 (11 blank)     11
openshift              eap71-basic-s2i                                 An example EAP 7 application. For more information about using this template,...   17 (5 blank)      6
openshift              eap71-https-s2i                                 An example EAP 7 application. For more information about using this template,...   27 (11 blank)     8
openshift              eap71-mongodb-persistent-s2i                    An example EAP 7 application with a MongoDB database. For more information ab...   40 (19 blank)     11
openshift              eap71-mongodb-s2i                               An example EAP 7 application with a MongoDB database. For more information ab...   39 (19 blank)     10
openshift              eap71-mysql-persistent-s2i                      An example EAP 7 application with a MySQL database. For more information abou...   41 (20 blank)     11
openshift              eap71-mysql-s2i                                 An example EAP 7 application with a MySQL database. For more information abou...   40 (20 blank)     10
openshift              eap71-postgresql-persistent-s2i                 An example EAP 7 application with a PostgreSQL database. For more information...   38 (17 blank)     11
openshift              eap71-postgresql-s2i                            An example EAP 7 application with a PostgreSQL database. For more information...   37 (17 blank)     10
openshift              eap71-sso-s2i                                   An example EAP 7 Single Sign-On application. For more information about using...   45 (20 blank)     8
openshift              eap71-third-party-db-s2i                        An example EAP 7 DB application. For more information about using this templa...   31 (8 blank)      8
openshift              eap71-tx-recovery-s2i                           An example EAP 7 application. For more information about using this template,...   19 (5 blank)      8
openshift              httpd-example                                   An example Apache HTTP Server (httpd) application that serves static content....   9 (3 blank)       5
openshift              jenkins-ephemeral                               Jenkins service, without persistent storage....                                    6 (all set)       6
openshift              jenkins-persistent                              Jenkins service, with persistent storage....                                       7 (all set)       7
openshift              jws31-tomcat7-basic-s2i                         Application template for JWS applications built using S2I.                         12 (3 blank)      5
openshift              jws31-tomcat7-https-s2i                         An example JBoss Web Server application configured for use with https. For mo...   17 (5 blank)      7
openshift              jws31-tomcat7-mongodb-persistent-s2i            An example JBoss Web Server application with a MongoDB database. For more inf...   30 (12 blank)     10
openshift              jws31-tomcat7-mongodb-s2i                       Application template for JWS MongoDB applications built using S2I.                 29 (12 blank)     9
openshift              jws31-tomcat7-mysql-persistent-s2i              An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
openshift              jws31-tomcat7-mysql-s2i                         Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
openshift              jws31-tomcat7-postgresql-persistent-s2i         An example JBoss Web Server application with a PostgreSQL database. For more...    28 (10 blank)     10
openshift              jws31-tomcat7-postgresql-s2i                    Application template for JWS PostgreSQL applications built using S2I.              27 (10 blank)     9
